Date,Corporate Bond Fund,Emerging Markets Bond Fund,European Corporate Bond Fund,European High Yield Bond Fund,Gilt & Fixed Interest Income Fund,Global Convertibles Fund,Global Convertibles Hedged Fund,Global Corporate Bond Fund,Global Floating Rate High Yield Fund,Global Government Bond Fund,Global High Yield Bond Fund,Global Macro Bond Fund,Global Macro Bond Hedged Fund,Index-Linked Bond Fund,Optimal Income Fund,Short Dated Corporate Bond Fund,Strategic Corporate Bond Fund,UK Inflation Linked Corporate Bond Fund,Dividend Fund,Recovery Fund,Smaller Companies Fund,UK Select Fund,Index Tracker Fund,European Index Tracker Fund,European Select Fund,European Smaller Companies Fund,European Strategic Value Fund,Pan European Dividend Fund,Pan European Select Fund,Global Basics Fund,Global Dividend Fund,Global Emerging Markets Fund,Global Leaders Fund,Global Recovery Fund,Global Select Fund,North American Dividend Fund,North American Value Fund,Japan Fund,Japan Smaller Companies Fund,Asian Fund,Episode Allocation Fund,Episode Growth Fund,Episode Income Fund,UK Income Distribution Fund
8/5/2008,0.00108,0.00257,0.00002,0,-0.00015,-0.0053,-0.00111,0,0.00059,-0.00214,-0.00312,0.00352,-0.0002,0.00025,0.00045,0,0.0002,-0.00247,0.02477,0.02368,-0.0021,0.01988,0.0138,0.01466,0.0225,0.0176,0.01922,0,0.01552,-0.03857,0.02365,-0.00275,0,0.01601,0.01985,0.02851,-0.00463,0,-0.01,-0.00657,-0.0034,-0.0042,-0.00171,0.01755
8/6/2008,0.00217,0.00296,0.003,-0.00153,0.00571,0.00384,0.00145,0.00177,0.00158,-0.00075,0.00207,-0.00084,0.0008,0.01005,0.00255,0,0.00352,-0.00488,0.00465,0.01017,0.01645,0.01051,0.00938,0.00958,0.01271,0.02485,0.01504,0.00969,0.01103,0.02416,0.00528,0.01814,0.01046,0.01604,0.00817,0.00045,0.04269,0.01648,0.02086,0.02637,0.00376,0.0084,0.00814,0.00457
8/7/2008,0.00156,-0.00147,-0.00397,-0.00638,0.00074,-0.00531,0.00231,0.00261,-0.002,0.00304,0.00096,0.00631,-0.00452,0.00227,0.00012,0,0.00083,0.00204,-0.00277,0.00193,-0.00563,0.00308,0.00779,0.0126,-0.01369,0.00283,-0.00836,-0.00342,-0.0009,0.00588,-0.01156,-0.00295,-0.00126,-0.002,-0.00854,-0.00576,0.00061,0.00063,-0.0284,-0.00007,0.00372,0.00592,0.00277,-0.00326
8/8/2008,0.00017,0.00863,-0.00522,-0.00413,0.00189,-0.00134,-0.01518,0.00045,0.00046,-0.00129,-0.00441,0.00682,-0.00466,0.00188,0.00277,0.0004,0.00208,-0.00332,0.00506,0.00311,-0.00058,-0.00254,-0.00282,-0.01167,-0.00456,-0.0131,-0.00075,-0.01379,0.00051,-0.00234,0.01347,-0.01485,0.01385,0.01908,0.01807,0.03466,-0.01675,0.00677,0.00771,0.00838,0.00093,-0.00175,-0.00162,0.00377
8/11/2008,0.00274,-0.00175,0.00094,-0.00228,0.00021,0.00303,-0.00173,-0.00231,-0.00179,0.0061,0.00174,0.00558,-0.00418,0.00326,0.00028,0,-0.00006,-0.00011,0.01031,0.012,-0.00891,0.00186,0.00909,0.00466,0.01623,0.00894,0.0166,0.01142,0.0058,0.01066,0.00478,0.00354,0.01109,0.01394,0.01654,0.00196,0.03222,0.0174,0.01491,0.01332,0.00317,0.00456,0.00287,0.00217
8/12/2008,-0.00083,0.00661,0.00779,0.00843,0.00327,0.0139,0.00324,0.00244,-0.00142,0.00437,0.00925,0.00411,-0.00177,0.00813,0.00262,0.0004,0.00207,0.00132,-0.00456,-0.00951,-0.001,-0.00419,0.00473,0.00681,0.0033,0.00293,0.00237,0.01017,0.00759,0.00328,-0.00581,-0.00084,-0.00492,-0.00092,0.00384,-0.00696,0.01145,0.00049,0.00013,-0.00831,0.00057,0.00111,0.00392,0.00178
8/13/2008,-0.00213,0.01375,0.0092,0.01191,0.00409,0.01154,0.00236,-0.00203,0.00072,0.01555,0.0002,0.01089,-0.00269,0.00273,0.00367,0.0004,0.00415,0.00516,-0.01258,-0.00689,0.0211,-0.02244,-0.00912,0.00184,0.00918,-0.00321,-0.01307,0.00068,-0.01419,0.00623,0.00106,0.00742,0.00737,0.00472,0.00341,0.00917,-0.00399,0.00553,0.01036,0.00238,0.00858,0.00526,-0.00055,-0.01056
8/14/2008,0.00249,0.0022,-0.00462,-0.00281,-0.0046,-0.0055,-0.00142,-0.00037,-0.00209,0.00141,-0.00275,0.00037,-0.00192,-0.00841,-0.00082,-0.00079,-0.00312,-0.00009,0.00561,0.00952,-0.00285,0.00363,-0.00045,-0.00552,0.00727,0.00546,-0.00613,-0.01284,-0.0042,0.00283,0.00136,0.0097,0.00743,0.00453,-0.00273,0.01145,-0.00645,-0.00432,-0.02473,-0.00026,0.00393,0.00395,-0.00229,0.00618
8/15/2008,0.00161,0.00295,-0.00602,-0.01056,0.00168,0.00034,-0.00219,0.00084,0.0005,-0.00631,-0.0019,0.00273,-0.00436,0.00499,0.0021,-0.00596,0.00215,-0.0064,-0.00454,-0.01706,-0.00011,-0.01007,0.00045,-0.00123,-0.00161,-0.01515,-0.0087,-0.00289,-0.0058,-0.00496,-0.00512,-0.00806,0.00343,0.00123,0.01189,0.00256,0.01588,-0.00521,0.01375,-0.00786,0.00137,-0.00024,0.00253,-0.00346
8/18/2008,0.00482,-0.0001,0.00345,0.00054,0.00188,0.00268,-0.00148,0.00376,0.00389,-0.00029,0.00177,0.00229,0.00213,0.00186,0.00247,0.0004,0.00178,-0.00095,0.00363,-0.00854,0.00287,-0.00055,-0.00178,-0.00185,-0.00604,-0.00193,-0.00336,0.00142,-0.00683,0.00091,-0.00871,-0.01256,-0.01353,-0.0009,0.00191,-0.01935,0.00651,0.02187,0.02036,-0.00713,-0.00245,-0.00404,-0.00137,-0.00109
8/19/2008,-0.00091,-0.00658,0.00322,0.00307,0.00196,0.00203,-0.00027,-0.00101,0.00034,0.00032,-0.00187,-0.00572,0.00228,0.00037,0.00041,0,0.00131,0.00666,-0.01959,-0.02764,-0.00883,-0.02366,-0.02155,-0.01841,-0.02938,-0.00432,-0.0125,-0.0108,-0.01822,-0.0102,-0.01925,-0.01356,-0.02258,-0.02123,-0.02143,-0.01484,-0.02579,-0.01811,-0.00768,-0.01262,-0.00509,-0.01083,-0.00144,-0.0134
8/20/2008,-0.00203,0.00693,-0.00154,0.00104,0.00067,0.00185,-0.00069,0.00014,0.0031,0.00365,-0.00187,0.00183,0.00016,-0.00099,-0.00115,0,-0.00008,0.00677,0.01124,0.00848,-0.00291,0.00928,-0.00015,-0.00362,0.0061,0.00638,-0.00118,-0.00812,0.00393,0.0039,0.00876,0.01699,0.0118,-0.00134,0.00004,0.01077,-0.01349,0.0039,0.00708,0.02198,0.00172,0.00307,-0.00682,0.00696
8/21/2008,0.00211,-0.00859,-0.00021,-0.00059,-0.00006,0.00063,0.00222,0.00035,-0.0012,0.00156,-0.00543,-0.01534,0.00471,0.00012,-0.00058,0,-0.00023,-0.00115,-0.00501,-0.00165,-0.00222,0.00447,-0.00182,-0.00712,-0.00251,0.0137,-0.0003,-0.00835,-0.00163,0.00956,-0.0094,-0.01489,0.00444,-0.0004,-0.00723,-0.00552,0.0015,-0.01053,0.007,-0.01401,0.00074,-0.00058,0.0039,0.00336
8/22/2008,0.0015,0.01794,0.00213,0.00312,0.00102,0.00398,-0.00748,-0.00151,-0.00117,0.00668,-0.00443,0.01068,-0.00273,0.00112,-0.00107,0.0004,-0.00056,0.00472,0.02583,0.01914,0.01135,0.03044,0.02223,0.00892,0.02272,0.01086,0.02635,0.00727,0.02689,0.00669,0.01284,0.01431,0.01961,0.02872,0.01845,0.01623,0.01002,-0.00631,-0.01281,0.01223,0.00468,0.0079,-0.00074,0.01136
8/25/2008,-0.00267,0.00699,-0.00029,-0.00459,0,-0.00195,0,0.0033,0.0026,0.00663,-0.00305,-0.00183,0,0,0.00021,0,-0.00013,0,0.00467,0.00599,-0.0001,-0.00135,0,0,0.00074,-0.01458,-0.00734,-0.00309,-0.00925,-0.00266,-0.00778,-0.00589,-0.00748,-0.0104,-0.00916,-0.02932,-0.00265,0.00606,-0.00058,0.00753,0,0,0,0.0037
8/26/2008,-0.0012,0.00255,0.00393,0.00681,0.00479,0.00618,-0.00491,-0.00138,0.00113,0.0066,-0.00161,0.00649,-0.00004,0.00631,0.00436,0.00679,0.0041,-0.00512,-0.00901,-0.00485,-0.00635,-0.01315,0,-0.00237,0.00783,-0.01191,0.00263,0.00258,0.00231,0.00165,-0.00324,-0.00656,0.00024,0.0049,0.0015,0.00805,-0.00156,0.00119,0.01716,-0.00218,0.00138,-0.00047,0.00751,-0.00563
8/27/2008,0.00186,0.00342,0.00307,0.00624,-0.00221,0.00236,-0.00089,0.00046,0.00023,0.00451,0.00251,0.00285,-0.00049,-0.00209,-0.0018,0.0004,-0.00166,0.00002,0.00368,0.00758,-0.00217,0.01164,0.00551,0.00411,0.00462,-0.0023,0.00977,0.00774,0.00089,0.01095,0.01751,0.01458,0.00698,0.00897,0.00956,0.0075,0.00873,-0.01175,0.00676,0.01904,0.00033,0.00166,-0.00005,0.00354
